Normal	DSS	MHs	CMHs
ASV_181	ASV_203	ASV_178	ASV_172
ASV_183	ASV_205	ASV_179	ASV_174
ASV_185	ASV_206	ASV_180	ASV_176
ASV_186	ASV_207	ASV_181	ASV_178
ASV_187	ASV_210	ASV_183	ASV_179
ASV_190	ASV_211	ASV_184	ASV_181
ASV_191	ASV_213	ASV_185	ASV_183
ASV_192	ASV_215	ASV_186	ASV_184
ASV_193	ASV_217	ASV_188	ASV_185
ASV_194	ASV_219	ASV_189	ASV_186
ASV_195	ASV_220	ASV_190	ASV_189
ASV_197	ASV_221	ASV_191	ASV_190
ASV_199	ASV_222	ASV_193	ASV_191
ASV_200	ASV_223	ASV_194	ASV_193
ASV_202	ASV_224	ASV_195	ASV_194
ASV_203	ASV_230	ASV_196	ASV_195
ASV_205	ASV_231	ASV_198	ASV_198
ASV_206	ASV_232	ASV_199	ASV_199
ASV_207	ASV_235	ASV_200	ASV_200
ASV_208	ASV_236	ASV_201	ASV_201
ASV_209	ASV_237	ASV_202	ASV_202
ASV_212	ASV_238	ASV_204	ASV_203
ASV_213	ASV_247	ASV_206	ASV_204
ASV_214	ASV_252	ASV_212	ASV_205
ASV_215	ASV_253	ASV_213	ASV_206
ASV_216	ASV_254	ASV_214	ASV_209
ASV_218	ASV_255	ASV_215	ASV_211
ASV_220	ASV_256	ASV_221	ASV_212
ASV_225	ASV_258	ASV_224	ASV_213
ASV_227	ASV_259	ASV_225	ASV_216
ASV_229	ASV_260	ASV_227	ASV_219
ASV_230	ASV_261	ASV_228	ASV_220
ASV_234	ASV_262	ASV_229	ASV_225
ASV_235	ASV_265	ASV_230	ASV_226
ASV_236	ASV_267	ASV_231	ASV_227
ASV_237	ASV_268	ASV_232	ASV_229
ASV_239	ASV_270	ASV_233	ASV_230
ASV_240	ASV_274	ASV_236	ASV_231
ASV_241	ASV_275	ASV_240	ASV_236
ASV_242	ASV_277	ASV_242	ASV_242
ASV_244	ASV_278	ASV_243	ASV_244
ASV_245	ASV_279	ASV_245	ASV_247
ASV_246	ASV_281	ASV_247	ASV_248
